Name,Headquarters,Num Employees,Rev,EBITDA,Num Offices,CEO,CTO,CFO,Website,Phone Number,Email Address,Solution/Info,Financials Link
Hyperion Technology,"Riverstone, New South Wales",51-200 employees,N/A,N/A,4,N/A,N/A,N/A,https://www.hyperiontechnology.com.au,1300 857 500,N/A,Construction & Civil | Traffic Signals | Intelligent Transport Systems | Engineering & Design | Maintenance,N/A
Insight Electrical Technology,"East Perth, Western Australia",51-200 employees,N/A,N/A,1,N/A,N/A,N/A,http://www.iet.com.au,1300 028 880,N/A,Delivering the electrical solutions of the future. That’s Insight.,N/A
Interlink Technology Services,"Sydney, NSW",51-200 employees,N/A,N/A,1,N/A,N/A,N/A,http://interlinkecs.com,N/A,N/A,Better Connection. Better Business.,N/A
Built.,"Sydney, New South Wales","501-1,000 employees",N/A,N/A,1,N/A,N/A,N/A,http://www.built.com.au,N/A,N/A,"Built is a dynamic Australian construction, refurbishment and fitout business operating in Australia and New Zealand.",N/A
Icon,"Melbourne, Victoria","501-1,000 employees",N/A,N/A,7,N/A,N/A,N/A,http://www.icon.co,03-9429 6099,N/A,Celebrating 160 years as the most diversified builder in ANZ - Creating possibilities for our people and partners.,N/A
Naylor Love,"Dunedin, Dunedin","501-1,000 employees",N/A,N/A,8,N/A,N/A,N/A,https://www.naylorlove.co.nz,03 474 1153,N/A,"NZ's largest privately owned construction company, with offices nationwide. There's never been a better time to join us!",N/A
Taylor Thomson Whitting (TTW),"North Sydney, New South Wales",201-500 employees,N/A,N/A,4,N/A,N/A,N/A,http://www.ttw.com.au,+61 2 9439 7288,N/A,Your Partner in Engineering,N/A
ADP Consulting Pty Ltd,"Melbourne, VIC",51-200 employees,N/A,N/A,3,N/A,N/A,N/A,http://www.adpconsulting.com.au,N/A,N/A,Engineers / Consultants / Designers / Advisers - Creating great environments with great people,N/A
Civmec,"Henderson, WA","1,001-5,000 employees",N/A,N/A,5,N/A,N/A,N/A,http://www.civmec.com.au,+61 8 9437 6288,N/A,"An integrated, multi-disciplinary construction and heavy engineering services provider.",N/A
Land Surveys,"Belmont, Western Australia",201-500 employees,N/A,N/A,7,N/A,N/A,N/A,http://www.landsurveys.net.au,1300 526 378,N/A,"Australia's Leading Surveying and Geospatial company, exceeding our clients expectations in our 25th year of business.",N/A
Walker Corporation,"Sydney, New South Wales",51-200 employees,N/A,N/A,4,N/A,N/A,N/A,http://www.walkercorp.com.au,N/A,N/A,"Where others see a challenge, we see opportunity.",N/A
Fredon,"Silverwater, NSW","1,001-5,000 employees",N/A,N/A,6,N/A,N/A,N/A,http://www.fredon.com.au,N/A,N/A,"Australian Electrical, HVAC, Technology, Security, Asset Services, Infrastructure, Mining & Industrial Company est.1968",N/A
Southern Cross Electrical Engineering (SCEE),"Perth, Western Australia","1,001-5,000 employees",N/A,N/A,10,N/A,N/A,N/A,https://www.scee.com.au/,61 8 9236 8300,N/A,Leading National Provider of Electrical and Communication Services,N/A
Australian Robotic Building Technology (M) Sdn. Bhd.,"Brisbane, Queensland",51-200 employees,N/A,N/A,3,N/A,N/A,N/A,http://www.arbtprefab.com,N/A,N/A,Taking traditional construction OFF-SITE,N/A
Hilti Australia,"Rhodes, NSW",201-500 employees,N/A,N/A,4,N/A,N/A,N/A,https://careers.hilti.com.au/en-au,N/A,N/A,"We supply the construction and energy industries with innovative products, systems, software and services. #LifeAtHilti",N/A
DBM Vircon,"South Brisbane, Queensland","501-1,000 employees",N/A,N/A,9,N/A,N/A,N/A,http://www.dbmvircon.com,+61 07 3503 5800,N/A,"Construction modeling, detailing and digital engineering. We make design constructible and assets manageable.",N/A
SITECH Construction Systems,"Brisbane, QLD",51-200 employees,N/A,N/A,5,N/A,N/A,N/A,http://www.sitechcs.com/,1800 748 324,N/A,Your construction technology provider,N/A
UEA Group,"Arndell Park, NSW",51-200 employees,N/A,N/A,2,N/A,N/A,N/A,http://www.uea.com.au,N/A,N/A,N/A,N/A
Unita,"Fortitude Valley, Queensland",51-200 employees,N/A,N/A,4,N/A,N/A,N/A,http://www.unita.com.au,1300 659 399,N/A,Built Better Together.,N/A
Amicus,"Sydney, New South Wales",51-200 employees,N/A,N/A,3,N/A,N/A,N/A,http://www.amicus.com.au/,(02) 8088 8700,N/A,"inspiring people, innovating spaces",N/A
MNG,"Jandakot, WA",51-200 employees,N/A,N/A,5,N/A,N/A,N/A,http://www.mngsurvey.com.au,N/A,N/A,Australia’s leading Surveying Company with over 30 years’ experience for all your Surveying and Geospatial requirements.,N/A
Rokon Pty Ltd,"Richmond, Victoria",51-200 employees,N/A,N/A,1,N/A,N/A,N/A,http://www.rokon.com.au,N/A,N/A,Many teams - one family!,N/A
erbas™ | erbas™ SUSTAIN,"St Leonards, NSW",51-200 employees,N/A,N/A,2,N/A,N/A,N/A,http://www.erbas.com.au,(02) 9437-1022,N/A,Engineers for Building Services,N/A
Consolidated Contracting Company Australia Pty Ltd (a subsidary of Consolidated Contractors Company),"Brisbane, QLD","10,001+ employees",N/A,N/A,2,N/A,N/A,N/A,http://www.cccaus.com.au,N/A,N/A,N/A,N/A
VAE Group,"Darra, Queensland",201-500 employees,N/A,N/A,9,N/A,N/A,N/A,http://www.vaegroup.com.au/,N/A,N/A,Engineer / Construct / Manage,N/A
DM Civil,"Perth, WA",51-200 employees,N/A,N/A,1,N/A,N/A,N/A,http://dmcivil.com.au,N/A,N/A,"DM Civil provides tailored, sustainable civil contracting solutions to many of Australia’s leading companies.",N/A
Vanguard Freadman,"Neutral Bay, New South Wales",201-500 employees,N/A,N/A,1,N/A,N/A,N/A,http://www.vanguardfreadman.com,+61409442628,N/A,"www.vanguardfreadman.com = Digital Twin, BIM, Multidisciplinary Digital Delivery and Drawing Production",N/A
Hilti New Zealand,Auckland,"10,001+ employees",N/A,N/A,4,N/A,N/A,N/A,https://www.hilti.co.nz/,0800 444 584,N/A,"We supply the construction and energy industries with innovative products, systems, software and services.",N/A
PDC Group,"South Brisbane, Queensland",201-500 employees,N/A,N/A,1,N/A,N/A,N/A,http://www.dbmvircon.com,N/A,N/A,N/A,N/A
Bennett + Bennett,"Bundall, QLD",51-200 employees,N/A,N/A,4,N/A,N/A,N/A,http://www.bennettandbennett.com.au,0756318000,N/A,"Surveying, Town Planning & Spatial Services. 

Gold Coast | Brisbane | Sunshine Coast | Northern Rivers",N/A
Bothar Group - Bothar Boring & Tunnelling,"Brisbane, QLD","501-1,000 employees",N/A,N/A,12,N/A,N/A,N/A,http://www.botharboring.com/,N/A,N/A,Building the world beneath you,N/A
BDS VirCon,"South Brisbane, Queensland",201-500 employees,N/A,N/A,1,N/A,N/A,N/A,http://www.dbmvircon.com,N/A,N/A,Making Design Constructable,N/A
Killard Group,"Baulkham Hills, NSW",201-500 employees,N/A,N/A,1,N/A,N/A,N/A,https://killardinfrastructure.com.au,02 9638 7000,N/A,Entities- Killard Infrastructure & Insituform Pacific,N/A
Active Metal Pty Ltd,Sydney | Melbourne | Brisbane | Canberra | Perth | Adelaide,51-200 employees,N/A,N/A,7,N/A,N/A,N/A,http://www.activemetal.com.au,N/A,N/A,Connecting People | Australia's Leading Stair Design & Construction Specialist,N/A
Xypex Australia: Ecological Resilience Supports Long-Lasting Concrete Infrastructure,"Thurgoona, NSW",51-200 employees,N/A,N/A,6,N/A,N/A,N/A,http://www.xypex.com.au,0260402444,N/A,"""What we believe we achieve""",N/A
Mitchell Brandtman,"Bowen Hills, Queensland",51-200 employees,N/A,N/A,5,N/A,N/A,N/A,http://www.mitbrand.com,1800 808 289,N/A,Creating Cost Certainty,N/A
Benchmark Scaffolding,"Townsville, Queensland",51-200 employees,N/A,N/A,2,N/A,N/A,N/A,http://www.benchmarkscaffolding.com.au,1300112247,N/A,Benchmark Scaffolding specialise in the most complex and high risk industrial projects across Australia.,N/A
